"Category","File","Width","Height","KB","Url"
"csr-gallery","gift_.jpg","700","371","169","https://www.qpl.com.ph/wp-content/uploads/2021/05/gift_.jpg"
"csr-gallery","gift_-5.jpg","700","371","126","https://www.qpl.com.ph/wp-content/uploads/2021/05/gift_-5.jpg"
"csr-gallery","10_million_awarding_12_20180327_1702094455.jpg","700","371","176","https://www.qpl.com.ph/wp-content/uploads/2021/05/10_million_awarding_12_20180327_1702094455.jpg"
"csr-gallery","10_million_awarding_6_20180327_1218290653.jpg","700","371","195","https://www.qpl.com.ph/wp-content/uploads/2021/05/10_million_awarding_6_20180327_1218290653.jpg"
"csr-gallery","10_million_awarding_16_20180327_1493751948.jpg","700","371","176","https://www.qpl.com.ph/wp-content/uploads/2021/05/10_million_awarding_16_20180327_1493751948.jpg"
"csr-gallery","10_million_awarding_17_20180327_1186354071.jpg","700","371","182","https://www.qpl.com.ph/wp-content/uploads/2021/05/10_million_awarding_17_20180327_1186354071.jpg"
"csr-gallery","10_million_awarding_9_20180327_1038951309.jpg","700","371","207","https://www.qpl.com.ph/wp-content/uploads/2021/05/10_million_awarding_9_20180327_1038951309.jpg"
"csr-gallery","medical_dental_mission_11_20160313_1871173401.jpg","700","371","83","https://www.qpl.com.ph/wp-content/uploads/2021/05/medical_dental_mission_11_20160313_1871173401.jpg"
"csr-gallery","medical_dental_mission_1_20160313_1420467434.jpg","700","371","117","https://www.qpl.com.ph/wp-content/uploads/2021/05/medical_dental_mission_1_20160313_1420467434.jpg"
"csr-gallery","medical_dental_mission_16_20160313_1843169083.jpg","700","371","102","https://www.qpl.com.ph/wp-content/uploads/2021/05/medical_dental_mission_16_20160313_1843169083.jpg"
"csr-gallery","medical_dental_mission_4_20160313_1426258039.jpg","700","371","131","https://www.qpl.com.ph/wp-content/uploads/2021/05/medical_dental_mission_4_20160313_1426258039.jpg"
"csr-gallery","medical_dental_mission_9_20160313_1384378379.jpg","700","371","95","https://www.qpl.com.ph/wp-content/uploads/2021/05/medical_dental_mission_9_20160313_1384378379.jpg"
"csr-gallery","medical_dental_mission_15_20160313_1098792424.jpg","700","371","103","https://www.qpl.com.ph/wp-content/uploads/2021/05/medical_dental_mission_15_20160313_1098792424.jpg"
"csr-gallery","clean_3_20160312_2037544498.jpg","700","371","144","https://www.qpl.com.ph/wp-content/uploads/2021/05/clean_3_20160312_2037544498.jpg"
"csr-gallery","clean_4_20160312_1200220241.jpg","700","371","127","https://www.qpl.com.ph/wp-content/uploads/2021/05/clean_4_20160312_1200220241.jpg"
"csr-gallery","clean_1_20160312_1965897441.jpg","700","371","107","https://www.qpl.com.ph/wp-content/uploads/2021/05/clean_1_20160312_1965897441.jpg"
"csr-gallery","clean_2_20160312_1425813950.jpg","700","371","153","https://www.qpl.com.ph/wp-content/uploads/2021/05/clean_2_20160312_1425813950.jpg"
"csr-gallery","tree_planting_2017_14_20180326_1288222987.jpg","700","371","285","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_2017_14_20180326_1288222987.jpg"
